iteration,ants_ms,evap_ms,comm_border_ms,comm_migrate_ms,update_ms,total_ms,global_food,total_ants
1,0.87408,0.063253,0.18305,0.198827,0.000674,1.16051,0,5000
2,0.802101,0.065511,0.032627,0.165511,0.000742,0.939883,0,5000
3,0.809309,0.067849,0.023843,0.222012,0.000681,0.95461,0,5000
4,0.811359,0.069408,0.010526,0.244124,0.000842,0.951101,0,5000
5,0.819826,0.063296,0.011448,0.218958,0.000621,0.947209,0,5000
6,0.840087,0.067242,0.009248,0.251096,0.000803,0.973521,0,5000
7,0.984139,0.051088,0.009834,0.402705,0.000604,1.11471,0,5000
8,0.991398,0.051101,0.010368,0.413959,0.000677,1.1213,0,5000
9,1.00518,0.052185,0.017644,0.441531,0.000565,1.14538,0,5000
10,1.01611,0.0522,0.010425,0.429228,0.000699,1.14616,0,5000
11,1.01005,0.050388,0.0098,0.416664,0.000656,1.13925,0,5000
12,0.85111,0.066115,0.010014,0.230733,0.000831,0.987954,0,5000
13,0.848006,0.064279,0.009537,0.21486,0.000614,0.971852,0,5000
14,0.856369,0.065508,0.009199,0.237983,0.000804,0.983631,0,5000
15,0.869399,0.064364,0.00927,0.252408,0.000608,0.992439,0,5000
16,0.861622,0.066183,0.00922,0.247201,0.000821,0.989239,0,5000
17,0.861413,0.06488,0.009141,0.241792,0.000631,0.98462,0,5000
18,0.863519,0.065363,0.008962,0.227426,0.000837,0.989034,0,5000
19,0.895758,0.064422,0.009669,0.25641,0.000668,1.01833,0,5000
20,0.894628,0.067745,0.009818,0.260239,0.000854,1.02758,0,5000
21,0.892973,0.083782,0.009908,0.233885,0.000601,1.02211,0,5000
22,0.916996,0.079406,0.01016,0.215449,0.002638,1.12609,0,5000
23,0.903031,0.079237,0.036543,0.225288,0.000685,1.06429,0,5000
24,0.897973,0.065652,0.011681,0.225504,0.000809,1.02978,0,5000
25,0.968039,0.152004,0.010615,0.307088,0.001231,1.20416,0,5000
26,0.912169,0.07783,0.015685,0.239534,0.000894,1.05009,0,5000
27,0.906597,0.07922,0.009813,0.225503,0.00062,1.03546,0,5000
28,0.924902,0.082028,0.010494,0.261893,0.000959,1.06745,0,5000
29,0.912713,0.073989,0.013945,0.131891,0.000651,1.05143,0,5000
30,0.930999,0.060033,0.014881,0.206892,0.000811,1.03923,0,5000
31,0.914734,0.065285,0.010903,0.262808,0.0006,1.04262,0,5000
32,0.914173,0.069642,0.01622,0.272832,0.000835,1.05255,0,5000
33,0.911322,0.068175,0.010316,0.257776,0.000696,1.04289,0,5000
34,0.901769,0.070075,0.010268,0.252498,0.000961,1.03083,0,5000
35,0.894834,0.063433,0.009808,0.24987,0.000703,1.02039,0,5000
36,0.863561,0.066288,0.009999,0.23533,0.000811,0.993124,0,5000
37,0.878578,0.0701,0.009385,0.254582,0.00069,1.00575,0,5000
38,0.880969,0.074008,0.009241,0.261434,0.000785,1.01606,0,5000
39,0.891636,0.071712,0.01002,0.23693,0.000687,1.02322,0,5000
40,0.877994,0.07277,0.010273,0.258239,0.000849,1.01756,0,5000
41,0.876674,0.124996,0.01113,0.27829,0.000629,1.15548,0,5000
42,0.842089,0.091077,0.021643,0.152309,0.0008,1.02094,0,5000
43,0.841307,0.048872,0.014521,0.125899,0.000602,0.95023,0,5000
44,0.844278,0.052644,0.013365,0.135279,0.000729,0.960158,0,5000
45,0.849211,0.049048,0.013601,0.114524,0.000696,0.956362,0,5000
46,0.874165,0.081383,0.014129,0.189911,0.000796,1.04942,0,5000
47,0.857577,0.061894,0.021134,0.159777,0.000622,0.985812,0,5000
48,0.849403,0.067126,0.009834,0.237761,0.000925,0.978987,0,5000
49,0.855686,0.083029,0.009663,0.215276,0.000639,0.987155,0,5000
50,0.848219,0.072729,0.009693,0.230551,0.000788,0.990829,0,5000
51,0.845924,0.071121,0.009596,0.208494,0.000621,0.973459,0,5000
52,0.858407,0.063802,0.008599,0.252363,0.000813,0.982398,0,5000
53,0.836962,0.064117,0.009506,0.234616,0.000626,0.955994,0,5000
54,0.837115,0.07014,0.017169,0.227509,0.000823,0.975014,0,5000
55,0.831723,0.069702,0.009112,0.233141,0.000597,0.9574,0,5000
56,0.818148,0.071636,0.008876,0.220772,0.000809,0.94981,0,5000
57,0.818089,0.08016,0.009441,0.213516,0.000692,0.949354,0,5000
58,0.828993,0.072517,0.010695,0.236172,0.000865,0.961196,0,5000
59,0.817612,0.072135,0.008896,0.221076,0.00061,0.944349,0,5000
60,0.816821,0.074926,0.00895,0.218171,0.000873,0.950332,0,5000
61,0.849682,0.076367,0.01035,0.226649,0.000764,0.986049,0,5000
62,0.852769,0.077426,0.011157,0.240552,0.000782,1.00261,0,5000
63,0.855793,0.073881,0.011121,0.215857,0.00062,0.985262,0,5000
64,0.841113,0.078311,0.008877,0.21568,0.000777,0.971539,0,5000
65,0.834652,0.081717,0.009126,0.207054,0.000631,0.963232,0,5000
66,0.836491,0.084063,0.010782,0.220882,0.000789,0.972292,0,5000
67,0.856765,0.084312,0.009303,0.222398,0.00069,0.987972,0,5000
68,0.863677,0.075066,0.009082,0.245942,0.000767,1.00199,0,5000
69,0.849731,0.073472,0.009147,0.221026,0.000603,0.983816,0,5000
70,0.856073,0.075327,0.009564,0.233081,0.000879,0.990862,0,5000
71,0.861628,0.075046,0.010889,0.224025,0.000648,0.993881,0,5000
72,0.863979,0.077348,0.008879,0.216253,0.000832,1.00026,0,5000
73,0.859762,0.097824,0.010142,0.243309,0.000653,0.99528,0,5000
74,0.87456,0.078259,0.010036,0.24871,0.000906,1.01653,0,5000
75,0.882514,0.076344,0.010461,0.247204,0.000618,1.02007,0,5000
76,0.890389,0.074657,0.009702,0.24403,0.000788,1.02002,0,5000
77,0.881843,0.081029,0.009681,0.209563,0.000701,1.01594,0,5000
78,0.867012,0.079629,0.01264,0.243062,0.000841,1.01022,0,5000
79,0.868658,0.075696,0.009673,0.249782,0.000736,1.00148,0,5000
80,0.87723,0.075642,0.009371,0.252321,0.000766,1.01502,0,5000
81,0.871219,0.074272,0.009842,0.233909,0.000652,1.00434,0,5000
82,0.868883,0.07612,0.009169,0.249598,0.000777,1.00502,0,5000
83,0.884887,0.077462,0.009417,0.268721,0.000672,1.02063,0,5000
84,0.883208,0.067683,0.009547,0.2574,0.000919,1.01325,0,5000
85,0.878063,0.065121,0.009921,0.243942,0.00065,1.00381,0,5000
86,0.885502,0.069874,0.009712,0.25628,0.000822,1.0193,0,5000
87,0.881369,0.059296,0.011685,0.236034,0.000696,1.00072,0,5000
88,0.865864,0.044333,0.009339,0.225041,0.000756,0.976601,0,5000
89,0.849898,0.054125,0.012644,0.097782,0.000664,0.959266,0,5000
90,0.849665,0.052377,0.016387,0.136857,0.000777,0.988678,0,5000
91,0.844502,0.063416,0.017056,0.115544,0.000725,0.97313,0,5000
92,0.830606,0.041249,0.013722,0.20642,0.000808,0.938381,0,5000
93,0.834928,0.038877,0.010298,0.21946,0.000549,0.934458,0,5000
94,0.846125,0.04275,0.009333,0.245713,0.000797,0.946593,0,5000
95,0.856488,0.036807,0.009151,0.255144,0.000566,0.953966,0,5000
96,0.836941,0.040498,0.009632,0.239573,0.000713,0.938676,0,5000
97,0.824319,0.048599,0.008837,0.233832,0.000588,0.933153,0,5000
98,0.834349,0.067613,0.010476,0.234407,0.000744,0.958639,0,5000
99,0.850669,0.075162,0.009138,0.241459,0.000752,0.984042,0,5000
100,0.843831,0.076449,0.008859,0.236293,0.000813,0.978389,0,5000
101,0.853272,0.076058,0.009226,0.251394,0.000754,0.987176,0,5000
102,0.855054,0.077566,0.009125,0.230672,0.000861,0.988319,0,5000
103,0.831562,0.037562,0.008872,0.256121,0.000516,0.929501,0,5000
104,0.828263,0.045554,0.008657,0.237145,0.000783,0.936054,0,5000
105,0.836311,0.038814,0.010163,0.230804,0.000507,0.944048,0,5000
106,0.814651,0.041362,0.009493,0.224987,0.000702,0.919448,0,5000
107,0.87564,0.054745,0.010001,0.24971,0.000558,0.979731,0,5000
108,0.879059,0.085405,0.010503,0.296534,0.000933,1.03298,0,5000
109,0.881432,0.079629,0.012535,0.235741,0.000567,1.01531,0,5000
110,0.871598,0.080783,0.010889,0.243839,0.000755,1.00572,0,5000
111,0.919001,0.082417,0.010491,0.278567,0.000987,1.0705,0,5000
112,0.846897,0.076626,0.016651,0.228069,0.00089,0.988291,0,5000
113,0.830521,0.070342,0.010542,0.201505,0.000675,0.954479,0,5000
114,0.853923,0.081017,0.008868,0.226317,0.000822,0.984897,0,5000
115,0.861864,0.084213,0.011793,0.230791,0.000647,1.00309,0,5000
116,0.855003,0.088403,0.010396,0.23518,0.000927,1.01447,0,5000
117,0.866208,0.090784,0.011344,0.225949,0.000784,1.01404,0,5000
118,0.880957,0.091664,0.011155,0.26147,0.000922,1.04006,0,5000
119,0.887215,0.085421,0.012818,0.245107,0.000713,1.04426,0,5000
120,0.86594,0.072605,0.025155,0.189366,0.00082,0.993053,0,5000
121,0.85688,0.080218,0.011137,0.221602,0.000687,0.995915,0,5000
122,0.843267,0.06754,0.009354,0.215118,0.000761,0.971131,0,5000
