iteration,ants_ms,evap_ms,comm_border_ms,comm_migrate_ms,update_ms,total_ms,global_food,total_ants
1,1.08443,0.156335,0.12772,0.095989,0.001299,1.52347,0,5000
2,1.03707,0.164288,0.027296,0.093897,0.001254,1.32021,0,5000
3,1.06682,0.168889,0.013389,0.130019,0.001211,1.32304,0,5000
4,1.06875,0.185039,0.009141,0.08377,0.001385,1.33491,0,5000
5,1.09572,0.191402,0.010858,0.133424,0.001293,1.35011,0,5000
6,1.10902,0.175614,0.008553,0.188658,0.001364,1.37513,0,5000
7,1.11738,0.181076,0.008317,0.175132,0.001378,1.38695,0,5000
8,1.1277,0.181015,0.008078,0.174922,0.00117,1.38045,0,5000
9,1.13156,0.180168,0.00854,0.176753,0.001222,1.39245,0,5000
10,1.13853,0.184337,0.008417,0.184346,0.001384,1.40992,0,5000
11,1.13621,0.181445,0.007933,0.170585,0.00134,1.40142,0,5000
12,1.15078,0.166559,0.008346,0.192296,0.001594,1.39868,0,5000
13,1.14373,0.168585,0.009323,0.183688,0.001256,1.38541,0,5000
14,1.17336,0.160243,0.00822,0.209217,0.001373,1.43668,0,5000
15,1.15604,0.189985,0.008442,0.16418,0.001511,1.41832,0,5000
16,1.20466,0.176043,0.007849,0.19518,0.001556,1.46517,0,5000
17,1.16651,0.18007,0.010526,0.181581,0.001499,1.45219,0,5000
18,1.14794,0.172221,0.00914,0.138034,0.001323,1.40116,0,5000
19,1.16856,0.176164,0.008937,0.177627,0.001776,1.44291,0,5000
20,1.16604,0.171802,0.008093,0.169765,0.001401,1.44499,0,5000
21,1.17115,0.169133,0.008429,0.183523,0.001286,1.43599,0,5000
22,1.1903,0.183936,0.008448,0.196411,0.001463,1.46047,0,5000
23,1.21212,0.173671,0.008946,0.16688,0.001268,1.47227,0,5000
24,1.21133,0.195111,0.008646,0.186695,0.00139,1.49716,0,5000
25,1.22801,0.173399,0.008521,0.203197,0.001458,1.50203,0,5000
26,1.24125,0.180233,0.008706,0.169905,0.001633,1.51349,0,5000
27,1.24381,0.18204,0.009455,0.162686,0.001423,1.52322,0,5000
28,1.27448,0.184529,0.01016,0.16918,0.00144,1.55079,0,5000
29,1.25974,0.182877,0.010443,0.165474,0.001562,1.54874,0,5000
30,1.26834,0.188225,0.014712,0.17977,0.001517,1.57942,0,5000
31,1.29324,0.201194,0.011096,0.203069,0.001572,1.59083,0,5000
32,1.2858,0.174787,0.009031,0.189605,0.001271,1.55429,0,5000
33,1.28871,0.181282,0.009087,0.214033,0.001397,1.55569,0,5000
34,1.31221,0.176021,0.008628,0.207136,0.001344,1.56468,0,5000
35,1.35472,0.210219,0.009088,0.211392,0.001439,1.63227,0,5000
36,1.35299,0.208791,0.009337,0.230237,0.00162,1.65846,0,5000
37,1.34819,0.197163,0.008723,0.222183,0.001453,1.63098,0,5000
38,1.366,0.184496,0.00959,0.232435,0.001372,1.63502,0,5000
39,1.34659,0.214112,0.009744,0.220698,0.001569,1.64877,0,5000
40,1.31345,0.207455,0.009779,0.206852,0.001412,1.62141,0,5000
41,1.31086,0.205252,0.008968,0.205377,0.001521,1.60542,0,5000
42,1.28954,0.20616,0.008749,0.20499,0.001411,1.58304,0,5000
43,1.30195,0.207285,0.008757,0.210652,0.001458,1.59998,0,5000
44,1.29854,0.208892,0.012337,0.201901,0.001518,1.59766,0,5000
45,1.26684,0.192863,0.008657,0.202846,0.001352,1.55512,0,5000
46,1.26995,0.20212,0.008506,0.200226,0.001586,1.54895,0,5000
47,1.26894,0.199608,0.00807,0.211971,0.001379,1.5526,0,5000
48,1.28731,0.200442,0.008691,0.220842,0.00131,1.57,0,5000
49,1.27763,0.19743,0.008981,0.208832,0.001304,1.55277,0,5000
50,1.27932,0.169885,0.008459,0.223952,0.001166,1.53998,0,5000
51,1.24459,0.164278,0.008425,0.192862,0.001516,1.50179,0,5000
52,1.26961,0.156395,0.008976,0.20382,0.001232,1.53242,0,5000
53,1.23627,0.154063,0.008493,0.18011,0.00127,1.47924,0,5000
54,1.26548,0.153786,0.008711,0.189221,0.001265,1.50665,0,5000
55,1.28102,0.152357,0.009299,0.229483,0.001266,1.51757,0,5000
56,1.27683,0.160364,0.008206,0.185486,0.001206,1.51477,0,5000
57,1.26626,0.149256,0.008528,0.162002,0.00124,1.49826,0,5000
58,1.27755,0.154551,0.008516,0.196352,0.001273,1.51468,0,5000
59,1.27138,0.203155,0.008979,0.190619,0.001525,1.54964,0,5000
60,1.27124,0.188099,0.008397,0.212208,0.001262,1.55448,0,5000
61,1.27148,0.172674,0.008323,0.208996,0.001347,1.53096,0,5000
62,1.27187,0.19248,0.009369,0.219204,0.00142,1.5515,0,5000
63,1.2868,0.16718,0.00894,0.20876,0.001298,1.54814,0,5000
64,1.27711,0.194242,0.008744,0.201356,0.001328,1.55992,0,5000
65,1.31888,0.187448,0.009127,0.218567,0.001493,1.58688,0,5000
66,1.31525,0.200215,0.009002,0.205048,0.00129,1.588,0,5000
67,1.3173,0.180023,0.008721,0.226058,0.001429,1.59497,0,5000
68,1.29914,0.195671,0.008933,0.182456,0.001491,1.56836,0,5000
69,1.30431,0.174368,0.009023,0.203558,0.001381,1.56503,0,5000
70,1.30755,0.179118,0.00871,0.202532,0.001477,1.56087,0,5000
71,1.31498,0.174121,0.008598,0.214254,0.001334,1.55674,0,5000
72,1.29491,0.200675,0.008035,0.163553,0.001386,1.54489,0,5000
73,1.30265,0.205868,0.009068,0.205048,0.001405,1.58683,0,5000
74,1.27472,0.190111,0.009042,0.236345,0.001542,1.55849,0,5000
75,1.26361,0.204921,0.009155,0.181011,0.001414,1.54577,0,5000
76,1.28853,0.203499,0.008521,0.225279,0.00151,1.57321,0,5000
77,1.26902,0.177792,0.008625,0.224915,0.001531,1.53636,0,5000
78,1.26741,0.1823,0.008083,0.198166,0.001331,1.54006,0,5000
79,1.26891,0.20816,0.008544,0.165868,0.00145,1.55148,0,5000
80,1.26018,0.202634,0.008392,0.174494,0.001321,1.53517,0,5000
81,1.27906,0.180331,0.008703,0.171381,0.001371,1.52028,0,5000
82,1.26215,0.203489,0.00858,0.167989,0.001429,1.5323,0,5000
83,1.26739,0.209254,0.008885,0.14231,0.001397,1.5259,0,5000
84,1.27425,0.203805,0.008795,0.187506,0.00141,1.54635,0,5000
85,1.29863,0.200404,0.008614,0.205253,0.001462,1.57264,0,5000
