iteration,food_quantity,first_food_arrived,t_ants_s,t_evaporation_s,t_update_s,t_render_s,t_total_s
1,0,0,0.000557366,0.000133262,4.37e-06,0,0.000694998
2,0,0,0.000306793,7.7736e-05,7.978e-06,0,0.000392507
3,0,0,0.000310609,7.403e-05,4.639e-06,0,0.000389278
4,0,0,0.000309258,6.672e-05,5.118e-06,0,0.000381096
5,0,0,0.000323607,6.4414e-05,4.611e-06,0,0.000392632
6,0,0,0.00030937,6.4124e-05,5.061e-06,0,0.000378555
7,0,0,0.000316644,6.1561e-05,4.862e-06,0,0.000383067
8,0,0,0.000314354,6.2399e-05,4.839e-06,0,0.000381592
9,0,0,0.000319734,6.1778e-05,4.772e-06,0,0.000386284
10,0,0,0.000317993,6.2419e-05,4.785e-06,0,0.000385197
11,0,0,0.000318577,6.1044e-05,4.946e-06,0,0.000384567
12,0,0,0.000319476,6.5107e-05,4.853e-06,0,0.000389436
13,0,0,0.00031983,6.1658e-05,5.178e-06,0,0.000386666
14,0,0,0.000321843,6.4504e-05,4.753e-06,0,0.0003911
15,0,0,0.000324761,6.5269e-05,5.031e-06,0,0.000395061
16,0,0,0.000323094,6.5654e-05,4.924e-06,0,0.000393672
17,0,0,0.000325686,6.2871e-05,4.881e-06,0,0.000393438
18,0,0,0.000328665,6.1042e-05,4.619e-06,0,0.000394326
19,0,0,0.000325881,6.1523e-05,4.836e-06,0,0.00039224
20,0,0,0.000325521,6.1955e-05,4.658e-06,0,0.000392134
21,0,0,0.000326232,6.2104e-05,4.551e-06,0,0.000392887
22,0,0,0.000326469,6.1557e-05,4.698e-06,0,0.000392724
23,0,0,0.00032798,6.6397e-05,4.877e-06,0,0.000399254
24,0,0,0.000323417,6.7771e-05,5.352e-06,0,0.00039654
25,0,0,0.000329358,6.9058e-05,4.513e-06,0,0.000402929
26,0,0,0.000323636,6.6853e-05,5.269e-06,0,0.000395758
27,0,0,0.000323601,7.6807e-05,5.056e-06,0,0.000405464
28,0,0,0.000325838,6.4803e-05,4.666e-06,0,0.000395307
29,0,0,0.000323122,6.2881e-05,4.617e-06,0,0.00039062
30,0,0,0.00033472,6.5033e-05,5.3e-06,0,0.000405053
31,0,0,0.000332236,6.2907e-05,4.798e-06,0,0.000399941
32,0,0,0.000333347,6.3551e-05,4.695e-06,0,0.000401593
33,0,0,0.000335363,6.3626e-05,4.664e-06,0,0.000403653
34,0,0,0.000335709,6.3632e-05,4.657e-06,0,0.000403998
35,0,0,0.000336103,6.4716e-05,4.697e-06,0,0.000405516
36,0,0,0.000333184,6.2987e-05,4.671e-06,0,0.000400842
37,0,0,0.000339278,6.7896e-05,4.98e-06,0,0.000412154
38,0,0,0.000339252,6.4616e-05,5.414e-06,0,0.000409282
39,0,0,0.000337983,7.4238e-05,5.265e-06,0,0.000417486
40,0,0,0.000356597,7.4657e-05,5.13e-06,0,0.000436384
41,0,0,0.000353929,7.4468e-05,4.831e-06,0,0.000433228
42,0,0,0.000357574,7.0012e-05,5.487e-06,0,0.000433073
43,0,0,0.00035407,7.1814e-05,4.862e-06,0,0.000430746
44,0,0,0.000355906,7.6125e-05,5.475e-06,0,0.000437506
45,0,0,0.000364801,7.6598e-05,5.255e-06,0,0.000446654
46,0,0,0.000366465,7.3438e-05,5.587e-06,0,0.00044549
47,0,0,0.000369119,7.0112e-05,5.354e-06,0,0.000444585
48,0,0,0.000367359,7.2113e-05,5.571e-06,0,0.000445043
49,0,0,0.000382495,7.5272e-05,6.006e-06,0,0.000463773
50,0,0,0.000393125,7.5913e-05,5.451e-06,0,0.000474489
51,0,0,0.000393311,7.5631e-05,5.942e-06,0,0.000474884
52,0,0,0.000391902,7.4318e-05,5.998e-06,0,0.000472218
53,0,0,0.000392132,7.4615e-05,5.994e-06,0,0.000472741
54,0,0,0.000391771,7.6136e-05,5.693e-06,0,0.0004736
55,0,0,0.000393768,7.3458e-05,5.763e-06,0,0.000472989
56,0,0,0.00039085,7.6121e-05,5.43e-06,0,0.000472401
57,0,0,0.000388995,7.6185e-05,5.407e-06,0,0.000470587
58,0,0,0.000388547,7.4504e-05,5.582e-06,0,0.000468633
59,0,0,0.000386061,7.7703e-05,5.604e-06,0,0.000469368
60,0,0,0.00038792,7.5499e-05,5.656e-06,0,0.000469075
61,0,0,0.000388925,7.5143e-05,5.392e-06,0,0.00046946
62,0,0,0.000390681,7.6833e-05,5.668e-06,0,0.000473182
63,0,0,0.000387896,7.6406e-05,5.547e-06,0,0.000469849
64,0,0,0.000393633,7.747e-05,5.896e-06,0,0.000476999
65,0,0,0.000388658,8.0011e-05,5.439e-06,0,0.000474108
66,0,0,0.000389369,7.8687e-05,5.887e-06,0,0.000473943
67,0,0,0.000387907,7.6105e-05,5.4e-06,0,0.000469412
68,0,0,0.000391277,7.3751e-05,5.739e-06,0,0.000470767
69,0,0,0.000389449,7.447e-05,5.36e-06,0,0.000469279
70,0,0,0.00038951,7.5664e-05,5.455e-06,0,0.000470629
71,0,0,0.00038639,7.3615e-05,6.163e-06,0,0.000466168
72,0,0,0.000404158,5.4493e-05,6.062e-06,0,0.000464713
73,0,0,0.000396654,5.2266e-05,5.706e-06,0,0.000454626
74,0,0,0.000396151,5.75e-05,5.501e-06,0,0.000459152
75,0,0,0.000395448,5.7986e-05,5.522e-06,0,0.000458956
76,0,0,0.000384909,5.3202e-05,5.511e-06,0,0.000443622
77,0,0,0.000405581,5.7425e-05,5.134e-06,0,0.00046814
78,0,0,0.000390118,5.7734e-05,5.85e-06,0,0.000453702
79,0,0,0.000387862,5.8239e-05,5.668e-06,0,0.000451769
80,0,0,0.00038468,5.3906e-05,5.571e-06,0,0.000444157
81,0,0,0.000386389,5.4411e-05,5.395e-06,0,0.000446195
82,0,0,0.00038693,5.3659e-05,5.729e-06,0,0.000446318
83,0,0,0.000384103,5.4077e-05,5.165e-06,0,0.000443345
84,0,0,0.000386985,5.4335e-05,5.711e-06,0,0.000447031
85,0,0,0.000390017,5.5172e-05,5.063e-06,0,0.000450252
