threads,iterations,tp_ms,speedup,efficiency_pct,ants_ms,evap_ms,update_ms,render_ms,first_food_iter,final_food
1,15000,2.578634,1.000000,100.000,2.334139,0.240798,0.003697,0.000000,2585,30329
2,15000,1.346750,1.914709,95.735,1.225747,0.117103,0.003926,0.000000,2585,30329
4,15000,0.696071,3.704557,92.614,0.631810,0.062527,0.004888,0.000000,2585,30329
8,15000,0.435623,5.919420,73.993,0.375524,0.054346,0.005950,0.000000,2585,30329
12,15000,0.338406,7.619946,63.500,0.280043,0.052506,0.006262,0.000000,2585,30329
16,15000,0.295427,8.728504,54.553,0.239039,0.050093,0.006051,0.000000,2585,30329
20,15000,0.571563,4.511546,22.558,0.368688,0.197284,0.005590,0.000000,2585,30329
