threads,iterations,tp_ms,speedup,efficiency_pct,ants_ms,evap_ms,update_ms,render_ms,first_food_iter,final_food
1,200,3.016451,1.000000,100.000,2.619498,0.391992,0.004961,0.000000,NA,0
2,200,1.457429,2.069707,103.485,1.311680,0.141838,0.003911,0.000000,NA,0
