iteration,food_quantity,first_food_arrived,t_ants_s,t_evaporation_s,t_update_s,t_render_s,t_total_s
1,0,0,0.002275,0.000133,0,0,0.002408
2,0,0,0.002186,0.000119,1e-06,0,0.002306
3,0,0,0.002166,0.000108,1e-06,0,0.002275
4,0,0,0.002162,0.000106,1e-06,0,0.002269
5,0,0,0.002199,0.000113,0,0,0.002312
6,0,0,0.002167,0.000109,1e-06,0,0.002277
7,0,0,0.002166,0.000107,0,0,0.002273
8,0,0,0.002181,0.000107,0,0,0.002288
9,0,0,0.002158,0.000106,1e-06,0,0.002265
10,0,0,0.002174,0.000106,1e-06,0,0.002281
11,0,0,0.002182,0.000105,1e-06,0,0.002288
12,0,0,0.002173,0.000107,1e-06,0,0.002281
13,0,0,0.002168,0.000113,1e-06,0,0.002282
14,0,0,0.002159,0.00011,0,0,0.002269
15,0,0,0.002165,0.000112,0,0,0.002277
16,0,0,0.002176,0.000106,1e-06,0,0.002283
17,0,0,0.002147,0.000106,1e-06,0,0.002254
18,0,0,0.002175,0.000107,1e-06,0,0.002283
19,0,0,0.002162,0.000107,0,0,0.002269
20,0,0,0.002161,0.000107,0,0,0.002268
21,0,0,0.002176,0.000109,1e-06,0,0.002286
22,0,0,0.002175,0.000107,0,0,0.002282
23,0,0,0.002172,0.000103,1e-06,0,0.002276
24,0,0,0.002133,0.000108,1e-06,0,0.002242
25,0,0,0.002149,0.000114,0,0,0.002263
26,0,0,0.002144,0.000107,1e-06,0,0.002252
27,0,0,0.002169,0.000105,1e-06,0,0.002275
28,0,0,0.002157,0.000107,1e-06,0,0.002265
29,0,0,0.002176,0.000106,1e-06,0,0.002283
30,0,0,0.002156,0.000107,0,0,0.002263
31,0,0,0.002149,0.000107,0,0,0.002256
32,0,0,0.002162,0.000106,1e-06,0,0.002269
33,0,0,0.002153,0.000106,0,0,0.002259
34,0,0,0.002164,0.000106,0,0,0.00227
35,0,0,0.002148,0.000107,1e-06,0,0.002256
36,0,0,0.002159,0.000106,1e-06,0,0.002266
37,0,0,0.002154,0.000106,1e-06,0,0.002261
38,0,0,0.002157,0.000106,0,0,0.002263
39,0,0,0.002163,0.000106,1e-06,0,0.00227
40,0,0,0.002141,0.000106,0,0,0.002247
41,0,0,0.002245,0.000108,0,0,0.002353
42,0,0,0.002123,0.000122,1e-06,0,0.002246
43,0,0,0.002159,0.000107,1e-06,0,0.002267
44,0,0,0.002147,0.000106,1e-06,0,0.002254
45,0,0,0.002174,9.9e-05,0,0,0.002273
46,0,0,0.002128,0.000107,0,0,0.002235
47,0,0,0.002144,0.000106,1e-06,0,0.002251
48,0,0,0.002137,0.000106,0,0,0.002243
49,0,0,0.002151,0.000106,1e-06,0,0.002258
50,0,0,0.002135,0.000106,1e-06,0,0.002242
51,0,0,0.002149,0.000106,1e-06,0,0.002256
52,0,0,0.002137,0.000109,0,0,0.002246
