iteration,food_quantity,first_food_arrived,t_ants_s,t_evaporation_s,t_update_s,t_render_s,t_total_s
1,0,0,0.002289,0.000128,0,0,0.002417
2,0,0,0.002164,0.000116,1e-06,0,0.002281
3,0,0,0.002171,0.000106,0,0,0.002277
4,0,0,0.002155,0.000105,1e-06,0,0.002261
5,0,0,0.002167,0.000111,0,0,0.002278
6,0,0,0.002237,0.000112,1e-06,0,0.00235
7,0,0,0.002167,0.000118,1e-06,0,0.002286
8,0,0,0.002181,0.000107,1e-06,0,0.002289
9,0,0,0.00217,0.000107,0,0,0.002277
10,0,0,0.002156,0.000106,1e-06,0,0.002263
11,0,0,0.002174,0.000107,1e-06,0,0.002282
12,0,0,0.002149,0.000113,0,0,0.002262
13,0,0,0.002197,0.000107,1e-06,0,0.002305
14,0,0,0.002178,0.000109,0,0,0.002287
15,0,0,0.002154,0.000107,0,0,0.002261
16,0,0,0.002165,0.000108,0,0,0.002273
17,0,0,0.002157,0.000107,0,0,0.002264
18,0,0,0.00216,0.000107,1e-06,0,0.002268
19,0,0,0.00217,0.000106,0,0,0.002276
20,0,0,0.002154,0.000106,0,0,0.00226
21,0,0,0.002166,0.000106,1e-06,0,0.002273
22,0,0,0.002179,0.000106,1e-06,0,0.002286
23,0,0,0.002153,0.000106,1e-06,0,0.00226
24,0,0,0.002177,0.000106,1e-06,0,0.002284
25,0,0,0.002152,0.000107,1e-06,0,0.00226
26,0,0,0.002155,0.000107,1e-06,0,0.002263
27,0,0,0.002159,0.000106,1e-06,0,0.002266
28,0,0,0.002142,0.000106,0,0,0.002248
29,0,0,0.002153,0.000106,0,0,0.002259
30,0,0,0.00214,0.000106,0,0,0.002246
31,0,0,0.002163,0.000105,1e-06,0,0.002269
32,0,0,0.002159,0.000106,0,0,0.002265
33,0,0,0.002148,0.000106,0,0,0.002254
34,0,0,0.002157,0.000106,0,0,0.002263
35,0,0,0.002153,0.000105,1e-06,0,0.002259
36,0,0,0.00217,0.000106,0,0,0.002276
37,0,0,0.002146,0.000105,1e-06,0,0.002252
38,0,0,0.002155,0.000106,1e-06,0,0.002262
39,0,0,0.002147,0.000105,0,0,0.002252
40,0,0,0.002202,0.000108,1e-06,0,0.002311
41,0,0,0.002158,0.00011,1e-06,0,0.002269
42,0,0,0.002144,0.000108,1e-06,0,0.002253
43,0,0,0.00216,0.000106,1e-06,0,0.002267
44,0,0,0.002145,0.00011,0,0,0.002255
45,0,0,0.002162,0.000107,0,0,0.002269
46,0,0,0.00215,0.000106,1e-06,0,0.002257
47,0,0,0.00214,0.000105,1e-06,0,0.002246
48,0,0,0.002152,0.000105,1e-06,0,0.002258
49,0,0,0.002143,0.000105,1e-06,0,0.002249
50,0,0,0.00215,0.000106,0,0,0.002256
51,0,0,0.002141,0.000106,0,0,0.002247
52,0,0,0.002148,0.000105,1e-06,0,0.002254
53,0,0,0.002139,0.000105,1e-06,0,0.002245
54,0,0,0.002149,0.000106,1e-06,0,0.002256
55,0,0,0.002139,0.000106,0,0,0.002245
56,0,0,0.002138,0.000105,0,0,0.002243
57,0,0,0.002131,0.000106,1e-06,0,0.002238
58,0,0,0.002148,0.000105,1e-06,0,0.002254
59,0,0,0.002144,0.000105,1e-06,0,0.00225
60,0,0,0.00213,0.000105,1e-06,0,0.002236
61,0,0,0.002173,0.000106,0,0,0.002279
62,0,0,0.002148,0.000106,1e-06,0,0.002255
63,0,0,0.002141,0.000106,0,0,0.002247
64,0,0,0.002133,0.000106,1e-06,0,0.00224
65,0,0,0.002153,0.000106,1e-06,0,0.00226
66,0,0,0.002134,0.000107,0,0,0.002241
67,0,0,0.002148,0.000106,0,0,0.002254
68,0,0,0.002139,0.000109,0,0,0.002248
69,0,0,0.002138,0.000105,1e-06,0,0.002244
70,0,0,0.002135,0.000106,0,0,0.002241
71,0,0,0.002136,0.000106,0,0,0.002242
72,0,0,0.002135,0.000105,1e-06,0,0.002241
73,0,0,0.002141,0.000106,1e-06,0,0.002248
74,0,0,0.002137,0.000106,1e-06,0,0.002244
75,0,0,0.002134,0.000106,1e-06,0,0.002241
76,0,0,0.002144,0.000105,1e-06,0,0.00225
77,0,0,0.002136,0.000106,0,0,0.002242
78,0,0,0.002137,0.000106,1e-06,0,0.002244
79,0,0,0.002133,0.000105,1e-06,0,0.002239
80,0,0,0.002149,0.000105,1e-06,0,0.002255
81,0,0,0.002131,0.000106,0,0,0.002237
82,0,0,0.002141,0.000105,1e-06,0,0.002247
83,0,0,0.002127,0.000108,1e-06,0,0.002236
84,0,0,0.002137,0.000106,0,0,0.002243
85,0,0,0.002144,0.000105,1e-06,0,0.00225
86,0,0,0.002139,0.000105,1e-06,0,0.002245
87,0,0,0.002133,0.000106,1e-06,0,0.00224
88,0,0,0.002143,0.000105,1e-06,0,0.002249
89,0,0,0.002131,0.000105,1e-06,0,0.002237
90,0,0,0.002133,0.000105,1e-06,0,0.002239
91,0,0,0.002133,0.000106,0,0,0.002239
92,0,0,0.002135,0.000105,1e-06,0,0.002241
93,0,0,0.002134,0.000105,1e-06,0,0.00224
94,0,0,0.002149,0.000105,1e-06,0,0.002255
95,0,0,0.00214,0.000106,1e-06,0,0.002247
96,0,0,0.00214,0.000107,1e-06,0,0.002248
97,0,0,0.002126,0.000109,0,0,0.002235
98,0,0,0.002143,0.000105,1e-06,0,0.002249
99,0,0,0.002125,0.000105,1e-06,0,0.002231
100,0,0,0.00213,0.000106,0,0,0.002236
101,0,0,0.002127,0.000105,1e-06,0,0.002233
102,0,0,0.002139,0.000106,0,0,0.002245
103,0,0,0.002116,0.000106,1e-06,0,0.002223
104,0,0,0.002129,0.000106,0,0,0.002235
105,0,0,0.002125,0.000106,0,0,0.002231
106,0,0,0.002135,0.000105,1e-06,0,0.002241
107,0,0,0.00213,0.000106,0,0,0.002236
108,0,0,0.002133,0.000105,0,0,0.002238
109,0,0,0.002136,0.000105,1e-06,0,0.002242
110,0,0,0.002138,0.000106,0,0,0.002244
111,0,0,0.002136,0.000106,0,0,0.002242
112,0,0,0.002128,0.000109,0,0,0.002237
113,0,0,0.00212,0.000106,1e-06,0,0.002227
114,0,0,0.002132,0.000105,1e-06,0,0.002238
115,0,0,0.002125,0.000105,1e-06,0,0.002231
116,0,0,0.002134,0.000105,1e-06,0,0.00224
117,0,0,0.002124,0.000105,1e-06,0,0.00223
118,0,0,0.002135,0.000105,1e-06,0,0.002241
119,0,0,0.00213,0.000105,1e-06,0,0.002236
120,0,0,0.002135,0.000106,1e-06,0,0.002242
121,0,0,0.00213,0.000105,1e-06,0,0.002236
122,0,0,0.002135,0.000105,1e-06,0,0.002241
123,0,0,0.00213,0.000105,1e-06,0,0.002236
124,0,0,0.002129,0.000105,0,0,0.002234
125,0,0,0.002132,0.000105,1e-06,0,0.002238
126,0,0,0.002132,0.000105,1e-06,0,0.002238
127,0,0,0.00213,0.000107,1e-06,0,0.002238
128,0,0,0.002127,0.000106,0,0,0.002233
129,0,0,0.00214,0.000106,0,0,0.002246
130,0,0,0.002128,0.000106,0,0,0.002234
131,0,0,0.002134,0.000105,1e-06,0,0.00224
132,0,0,0.00213,0.000106,0,0,0.002236
133,0,0,0.002141,0.000105,0,0,0.002246
134,0,0,0.002134,0.000106,0,0,0.00224
135,0,0,0.002139,0.000105,1e-06,0,0.002245
136,0,0,0.002128,0.000105,1e-06,0,0.002234
137,0,0,0.002136,0.000106,0,0,0.002242
138,0,0,0.002139,0.000106,0,0,0.002245
139,0,0,0.002128,0.000105,1e-06,0,0.002234
140,0,0,0.002128,0.000105,1e-06,0,0.002234
141,0,0,0.002128,0.000105,1e-06,0,0.002234
142,0,0,0.002133,0.000106,0,0,0.002239
143,0,0,0.002124,0.000106,0,0,0.00223
144,0,0,0.002132,0.000105,1e-06,0,0.002238
145,0,0,0.002125,0.000106,0,0,0.002231
146,0,0,0.002135,0.000105,1e-06,0,0.002241
147,0,0,0.0022,0.000106,0,0,0.002306
148,0,0,0.002145,0.000106,0,0,0.002251
149,0,0,0.002138,0.000106,1e-06,0,0.002245
150,0,0,0.002134,0.000106,0,0,0.00224
151,0,0,0.002149,0.000106,0,0,0.002255
152,0,0,0.002131,0.000105,1e-06,0,0.002237
153,0,0,0.002136,0.000105,1e-06,0,0.002242
154,0,0,0.002178,0.000107,1e-06,0,0.002286
155,0,0,0.002141,0.000108,1e-06,0,0.00225
156,0,0,0.002143,0.000106,1e-06,0,0.00225
157,0,0,0.002132,0.000106,0,0,0.002238
158,0,0,0.002131,0.000106,1e-06,0,0.002238
159,0,0,0.002123,0.000106,0,0,0.002229
160,0,0,0.002133,0.000106,0,0,0.002239
161,0,0,0.002121,0.000105,1e-06,0,0.002227
162,0,0,0.002136,0.000105,1e-06,0,0.002242
163,0,0,0.002127,0.000105,0,0,0.002232
164,0,0,0.002127,0.000108,1e-06,0,0.002236
165,0,0,0.002139,0.000105,1e-06,0,0.002245
166,0,0,0.002122,0.000105,1e-06,0,0.002228
167,0,0,0.002135,0.000105,1e-06,0,0.002241
168,0,0,0.00212,0.000106,0,0,0.002226
169,0,0,0.002138,0.000105,1e-06,0,0.002244
170,0,0,0.002121,0.000106,0,0,0.002227
171,0,0,0.002125,0.000106,0,0,0.002231
172,0,0,0.002126,0.000105,1e-06,0,0.002232
173,0,0,0.002119,0.000106,0,0,0.002225
174,0,0,0.002134,0.000106,0,0,0.00224
175,0,0,0.002118,0.000106,0,0,0.002224
176,0,0,0.002134,0.000105,1e-06,0,0.00224
177,0,0,0.002126,0.000106,0,0,0.002232
178,0,0,0.002137,0.000105,1e-06,0,0.002243
179,0,0,0.002119,0.000108,1e-06,0,0.002228
180,0,0,0.002115,0.000105,1e-06,0,0.002221
181,0,0,0.00212,0.000105,1e-06,0,0.002226
182,0,0,0.002118,0.000106,0,0,0.002224
183,0,0,0.002128,0.000105,1e-06,0,0.002234
184,0,0,0.002136,0.000106,1e-06,0,0.002243
185,0,0,0.002126,0.000107,0,0,0.002233
186,0,0,0.002137,0.000106,0,0,0.002243
187,0,0,0.00213,0.000107,0,0,0.002237
