iteration,food_quantity,first_food_arrived,t_ants_s,t_evaporation_s,t_update_s,t_render_s,t_total_s
1,0,0,0.002309,0.000129,1e-06,0,0.002439
2,0,0,0.002187,0.000117,1e-06,0,0.002305
3,0,0,0.002166,0.000105,1e-06,0,0.002272
4,0,0,0.002172,0.000106,0,0,0.002278
5,0,0,0.002179,0.000105,1e-06,0,0.002285
6,0,0,0.002178,0.000107,0,0,0.002285
7,0,0,0.002171,0.000107,0,0,0.002278
8,0,0,0.002167,0.000107,0,0,0.002274
9,0,0,0.002166,0.000106,1e-06,0,0.002273
10,0,0,0.002178,0.000107,1e-06,0,0.002286
11,0,0,0.002163,0.000106,0,0,0.002269
12,0,0,0.002162,0.000107,1e-06,0,0.00227
13,0,0,0.00219,0.000106,1e-06,0,0.002297
14,0,0,0.002166,0.000107,1e-06,0,0.002274
15,0,0,0.002166,0.000108,0,0,0.002274
16,0,0,0.002166,0.000106,1e-06,0,0.002273
17,0,0,0.00215,0.000107,0,0,0.002257
18,0,0,0.002184,0.000108,1e-06,0,0.002293
19,0,0,0.002164,0.000107,1e-06,0,0.002272
20,0,0,0.002164,0.000107,1e-06,0,0.002272
21,0,0,0.002159,0.000106,0,0,0.002265
22,0,0,0.002162,0.000107,0,0,0.002269
23,0,0,0.00216,0.000109,1e-06,0,0.00227
24,0,0,0.002149,0.000107,1e-06,0,0.002257
25,0,0,0.002177,0.000106,1e-06,0,0.002284
26,0,0,0.00217,0.000107,0,0,0.002277
27,0,0,0.002173,0.000106,0,0,0.002279
28,0,0,0.002165,0.000106,1e-06,0,0.002272
29,0,0,0.002151,0.000105,1e-06,0,0.002257
30,0,0,0.002165,0.000109,1e-06,0,0.002275
31,0,0,0.002163,0.000106,1e-06,0,0.00227
32,0,0,0.002158,0.000105,1e-06,0,0.002264
33,0,0,0.00215,0.000107,0,0,0.002257
34,0,0,0.002154,0.000106,0,0,0.00226
35,0,0,0.002164,0.000106,1e-06,0,0.002271
36,0,0,0.002151,0.000107,0,0,0.002258
37,0,0,0.002154,0.000105,1e-06,0,0.00226
38,0,0,0.002142,0.000106,1e-06,0,0.002249
39,0,0,0.002151,0.000105,1e-06,0,0.002257
40,0,0,0.002142,0.000106,0,0,0.002248
41,0,0,0.002201,0.000106,1e-06,0,0.002308
42,0,0,0.002152,0.00011,0,0,0.002262
43,0,0,0.002153,0.000107,1e-06,0,0.002261
44,0,0,0.002155,0.000106,1e-06,0,0.002262
45,0,0,0.00214,0.000106,0,0,0.002246
46,0,0,0.002149,0.000106,1e-06,0,0.002256
47,0,0,0.002137,0.000105,1e-06,0,0.002243
48,0,0,0.002152,0.000106,0,0,0.002258
49,0,0,0.002139,0.000106,0,0,0.002245
50,0,0,0.002162,0.000107,0,0,0.002269
51,0,0,0.002156,0.000109,0,0,0.002265
52,0,0,0.002157,0.000106,1e-06,0,0.002264
53,0,0,0.002135,0.000105,1e-06,0,0.002241
54,0,0,0.00214,0.000106,0,0,0.002246
55,0,0,0.002145,0.000105,1e-06,0,0.002251
56,0,0,0.002144,0.000105,1e-06,0,0.00225
57,0,0,0.002136,0.000106,0,0,0.002242
58,0,0,0.002134,0.000109,0,0,0.002243
59,0,0,0.002141,0.000105,1e-06,0,0.002247
60,0,0,0.002133,0.000106,0,0,0.002239
61,0,0,0.002149,0.000106,1e-06,0,0.002256
62,0,0,0.00214,0.000106,1e-06,0,0.002247
63,0,0,0.00215,0.000106,0,0,0.002256
64,0,0,0.002133,0.000107,0,0,0.00224
65,0,0,0.002136,0.000106,0,0,0.002242
66,0,0,0.002129,0.000106,1e-06,0,0.002236
67,0,0,0.002145,0.000105,1e-06,0,0.002251
68,0,0,0.002139,0.000106,1e-06,0,0.002246
69,0,0,0.002135,0.000106,1e-06,0,0.002242
70,0,0,0.002149,0.000107,1e-06,0,0.002257
71,0,0,0.002152,0.000107,1e-06,0,0.00226
72,0,0,0.002134,0.000107,0,0,0.002241
73,0,0,0.002134,0.000108,1e-06,0,0.002243
74,0,0,0.002134,0.000105,1e-06,0,0.00224
75,0,0,0.002137,0.000106,0,0,0.002243
76,0,0,0.002167,0.000107,1e-06,0,0.002275
77,0,0,0.00214,0.000107,1e-06,0,0.002248
78,0,0,0.002145,0.000122,1e-06,0,0.002268
79,0,0,0.002141,0.000107,1e-06,0,0.002249
80,0,0,0.002135,0.000109,1e-06,0,0.002245
81,0,0,0.002135,0.000105,1e-06,0,0.002241
82,0,0,0.002132,0.000106,0,0,0.002238
83,0,0,0.002132,0.000106,0,0,0.002238
84,0,0,0.002141,0.000105,1e-06,0,0.002247
85,0,0,0.002146,0.000105,1e-06,0,0.002252
86,0,0,0.002138,0.000106,0,0,0.002244
87,0,0,0.002176,0.0001,1e-06,0,0.002277
88,0,0,0.002087,0.000108,0,0,0.002195
89,0,0,0.002123,0.000107,0,0,0.00223
90,0,0,0.00213,0.000106,0,0,0.002236
91,0,0,0.002141,0.0001,0,0,0.002241
92,0,0,0.002078,0.000105,1e-06,0,0.002184
93,0,0,0.002149,0.000106,1e-06,0,0.002256
94,0,0,0.002143,0.000107,1e-06,0,0.002251
95,0,0,0.002136,0.000106,1e-06,0,0.002243
96,0,0,0.002137,0.000107,0,0,0.002244
97,0,0,0.002133,0.000106,0,0,0.002239
98,0,0,0.002126,0.000106,1e-06,0,0.002233
99,0,0,0.002137,0.000106,1e-06,0,0.002244
100,0,0,0.002132,0.000105,1e-06,0,0.002238
101,0,0,0.002122,0.000108,1e-06,0,0.002231
102,0,0,0.002116,0.000105,1e-06,0,0.002222
103,0,0,0.002125,0.000105,0,0,0.00223
104,0,0,0.00212,0.000106,1e-06,0,0.002227
105,0,0,0.002132,0.000106,0,0,0.002238
106,0,0,0.002124,0.000105,1e-06,0,0.00223
107,0,0,0.002144,0.000107,1e-06,0,0.002252
108,0,0,0.002134,0.000109,0,0,0.002243
109,0,0,0.002144,0.000107,0,0,0.002251
110,0,0,0.00213,0.000106,0,0,0.002236
111,0,0,0.002134,0.000106,0,0,0.00224
112,0,0,0.002132,0.000106,1e-06,0,0.002239
113,0,0,0.002122,0.000106,0,0,0.002228
114,0,0,0.002134,0.000105,0,0,0.002239
115,0,0,0.002115,0.000105,1e-06,0,0.002221
116,0,0,0.002123,0.000105,1e-06,0,0.002229
117,0,0,0.00212,0.000105,1e-06,0,0.002226
118,0,0,0.002137,0.000108,1e-06,0,0.002246
119,0,0,0.002126,0.000106,0,0,0.002232
120,0,0,0.002128,0.000108,0,0,0.002236
121,0,0,0.002122,0.000106,0,0,0.002228
